# Program:featureCounts v1.5.2; Command:"/data/biohub/local/subread-1.5.2-Linux-x86_64/bin/featureCounts" "-Q" "10" "-s" "2" "-T" "16" "-p" "-a" "/data/biohub/Refs/zebrafish/Danio_rerio.GRCz10.88.gtf" "-o" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/featureCounts/rRNA_genes.out" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/9_Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/12_Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/5_Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/11_Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/10_Ps2Ex3M1_WT_6month_07_07_2016_F3_86_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/2_Ps2Ex3M1_Heter_6month_07_07_2016_F3_81_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/7_Ps2Ex3M1_Hom_6month_07_07_2016_F3_83_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/1_Ps2Ex3M1_Heter_6month_07_07_2016_F3_80_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/8_Ps2Ex3M1_Hom_6month_07_07_2016_F3_85_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/3_Ps2Ex3M1_Heter_6month_07_07_2016_F3_84_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/4_Ps2Ex3M1_Heter_6month_07_07_2016_F3_89_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/6_Ps2Ex3M1_Hom_6month_07_07_2016_F3_82_Fem_hisat2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/9_Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem_hisat2_sorted.bam	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/12_Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem_hisat2_sorted.bam	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/5_Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem_hisat2_sorted.bam	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/11_Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem_hisat2_sorted.bam
ENSDARG00000104632	4;4;4;4;4	6732;9547;13755;48613;52002	7380;9620;13811;48740;52059	-;-;-;-;-	966	299	345	326	382
ENSDARG00000100660	4;4;4;4;4;4;4;4;4;4;4	16257;18669;19012;20698;20832;22332;22924;23103;23513;24516;25485	16549;18804;19372;20748;20958;22618;23020;23178;23643;24667;28189	+;+;+;+;+;+;+;+;+;+;+	4416	112	162	120	133
ENSDARG00000098417	4;4	30383;33830	30614;34259	+;+	662	306	304	129	226
ENSDARG00000100422	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	57288;57509;66654;66654;67397;67397;68573;68573;69260;69260;71398;71398;71812;71812;72111;72111;72382;72382;74103;74103;74436;74436;76195;76195;77058;77058;77315;77315;77608;77669;77742;79897;79897;80677;80677;82101;82101;82269;82269;82725;82725;82880;82880;83249;83249;83851;83851;84106;84106;84446;84446;84764	57749;57749;66918;66918;67552;67552;68725;68725;69790;69790;71559;71559;72008;72008;72231;72231;72575;72575;74214;74214;74599;74599;76315;76315;77191;77191;77456;77456;77628;77810;77810;79980;79980;80712;80712;82182;82182;82359;82359;82801;82801;83014;83014;83371;83371;84005;84005;84241;84241;84554;84550;85736	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5078	1036	1038	1027	1160
ENSDARG00000102128	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	90801;90903;90911;95503;98244;98244;99260;99263;99294;101334;101334;101334;101334;101334;101943;102271;102271;102271;102271;102271;102780;102780;102780;102780;102780;103013;103013;103013;103013;103013;103309;103309;103309;103309;103309;103474;103474;103474;103474;103474;103693;103693;103693;103693;103693;104349;104349;104349;104349;104349;104553;104553;104553;104553;104553;104740;104740;104740;104740;104740;105672;105672;105672;105672;105672;105733;107258;107258;107258;107258;107258;107258;107500;107500;107500;107500;107500;107500;109631;109631;109631;109631;109631;109631;109816;109816;109816;109816;109816;109816;110930;110930;110930;110930;110930;110933;111960;111960;111960;111960;111960;112284;112284;112284;112284;112284;117240;117240;117240;117240;117240	91069;91069;91069;95734;98312;98312;99328;99328;99328;101395;101395;101395;101395;101395;101993;102338;102338;102338;102338;102338;102941;102941;102941;102941;102941;103162;103162;103162;103162;103162;103391;103391;103391;103391;103391;103610;103610;103610;103610;103610;103766;103766;103766;103766;103766;104475;104475;104475;104475;104475;104641;104641;104641;104641;104641;104814;104814;104814;104814;104814;105820;105820;105820;105820;105820;105820;107414;107414;107414;107414;107414;107414;107534;107534;107534;107534;107534;107534;109742;109742;109742;109742;109742;109742;109956;109956;109956;109956;109956;109956;111260;111260;111260;111260;111260;111065;112140;112140;112140;112140;112140;112416;112416;112416;112416;112416;117907;117621;117908;117907;117623	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3625	391	330	313	317
ENSDARG00000103095	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	120072;120079;122411;122411;123013;123013;125177;125177;125794;125794;126356;126356;128084;128084;128271;128271;128553;128861;129316;130444;130817;131196;131505;131656;131687;131858;131858;132075;132075;132308;132308;134012;134012;134172;134172;134283	120124;120124;122514;122514;123153;123153;125306;125306;125975;125975;126516;126516;128194;128194;128380;128450;128749;128919;129407;130545;130895;131317;131581;131726;131726;131959;131959;132171;132171;132408;132408;134083;134083;134450;135084;134990	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3146	1122	1295	927	1312
ENSDARG00000102226	4;4	135880;138978	136038;141154	+;+	2336	201	227	194	220
ENSDARG00000104049	4;4;4;4;4;4;4	144009;144011;146045;146685;146685;147577;147577	146229;144137;146229;146882;146882;147627;147740	-;-;-;-;-;-;-	2583	1614	1982	1404	1740
ENSDARG00000102474	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	149700;154272;154409;154860;154860;155745;155745;156017;156017;157234;157234;158567;158567;263301;334971	150016;154761;154761;154995;154995;155908;155908;156176;156176;157357;157357;162134;160523;263343;334996	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5028	230	207	154	183
ENSDARG00000100143	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	168033;169406;169786;169786;172531;172531;172987;172987;174381;174381;174705;174705;175145;175145;175465;175465;176122;176122;177310;177310;177771;177771;178260;178260;178785;178785;179130;179130;179418;179720;179760;179929;179929;180111;180332;180655;180873;180959;181053;181136;181268;181343;181536;181664;181829;182030;182122;182189;182245;182367;182367;183255;183255;192742;192843;192843;194750;194750;194750	169709;169709;169883;169883;172667;172667;173217;173217;174491;174491;174941;174941;175270;175270;175674;175674;176312;176312;177521;177521;177973;177973;178586;178586;178969;178969;179369;179356;179447;179746;179850;180063;180063;180226;180402;180710;180947;180993;181077;181176;181297;181387;181572;181800;181877;182117;182167;182222;182268;182563;182563;183452;183452;193242;193242;193242;194804;195214;194804	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6738	1006	853	798	990
